Группа;Курс;Семестр;Код;Преподаватель;Дисциплина;ВидЗанятий;ВсегоЗанятийПоЖурналу;ПропусковНеуважитПрич
2.210-1;3;1;921129;Булатова Г.А.;Экономический анализ;Пр  ;26;0
2.210-1;3;2;915859;Булатова Г.А.;Экономический анализ;Лек ;32;19
2.210-1;3;1;915859;Булатова Г.А.;Экономический анализ;Пр  ;26;6
2.210-1;3;1;915859;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;2;915859;Булатова Г.А.;Экономический анализ;Пр  ;50;31
2.210-1;3;2;916016;Булатова Г.А.;Экономический анализ;Лек ;32;25
2.210-1;3;2;916016;Булатова Г.А.;Экономический анализ;Пр  ;50;29
2.210-1;3;1;916016;Булатова Г.А.;Экономический анализ;Пр  ;26;10
2.210-1;3;1;916016;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;2;921131;Булатова Г.А.;Экономический анализ;Лек ;32;23
2.210-1;3;1;921131;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;1;921131;Булатова Г.А.;Экономический анализ;Пр  ;26;8
2.210-1;3;2;921131;Булатова Г.А.;Экономический анализ;Пр  ;50;27
2.210-1;3;2;915900;Булатова Г.А.;Экономический анализ;Лек ;32;10
2.210-1;3;1;915900;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;1;915900;Булатова Г.А.;Экономический анализ;Пр  ;26;0
2.210-1;3;2;915900;Булатова Г.А.;Экономический анализ;Пр  ;50;12
2.210-1;3;1;916267;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;2;916267;Булатова Г.А.;Экономический анализ;Лек ;32;25
2.210-1;3;2;916267;Булатова Г.А.;Экономический анализ;Пр  ;50;41
2.210-1;3;1;916267;Булатова Г.А.;Экономический анализ;Пр  ;26;25
2.210-1;3;2;916017;Булатова Г.А.;Экономический анализ;Лек ;32;18
2.210-1;3;1;916017;Булатова Г.А.;Экономический анализ;Пр  ;26;2
2.210-1;3;2;916017;Булатова Г.А.;Экономический анализ;Пр  ;50;8
2.210-1;3;1;916017;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;1;916018;Булатова Г.А.;Экономический анализ;Пр  ;26;16
2.210-1;3;1;916018;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;2;916018;Булатова Г.А.;Экономический анализ;Лек ;32;12
2.210-1;3;2;916018;Булатова Г.А.;Экономический анализ;Пр  ;50;35
2.210-1;3;2;915888;Булатова Г.А.;Экономический анализ;Пр  ;50;25
2.210-1;3;1;915888;Булатова Г.А.;Экономический анализ;Пр  ;26;2
2.210-1;3;1;915888;Булатова Г.А.;Экономический анализ;Лек ;16;0
2.210-1;3;2;915888;Булатова Г.А.;Экономический анализ;Лек ;32;13
